identificador,nombreTratamiento,descripcionTratamiento,nivelDeRiesgo
1,nombretratamiento1,descripciontratamiento1,nulo
2,nombretratamiento2,descripciontratamiento2,bajo
3,nombretratamiento3,descripciontratamiento3,medio
4,nombretratamiento4,descripciontratamiento4,alto
5,nombretratamiento5,descripciontratamiento5,muy alto
6,nombretratamiento6,descripciontratamiento6,bajo
7,nombretratamiento7,descripciontratamiento7,nulo
8,nombretratamiento8,descripciontratamiento8,muy alto
9,nombretratamiento9,descripciontratamiento9,medio
10,nombretratamiento10,descripciontratamiento10,alto
11,nombretratamiento11,descripciontratamiento11,nulo
12,nombretratamiento12,descripciontratamiento12,bajo
13,nombretratamiento13,descripciontratamiento13,medio
14,nombretratamiento14,descripciontratamiento14,alto
15,nombretratamiento15,descripciontratamiento15,muy alto
16,nombretratamiento16,descripciontratamiento16,bajo
17,nombretratamiento17,descripciontratamiento17,nulo
18,nombretratamiento18,descripciontratamiento18,muy alto
19,nombretratamiento19,descripciontratamiento19,medio
20,nombretratamiento20,descripciontratamiento20,alto
21,nombretratamiento21,descripciontratamiento21,nulo
22,nombretratamiento22,descripciontratamiento22,bajo
23,nombretratamiento23,descripciontratamiento23,medio
24,nombretratamiento24,descripciontratamiento24,alto
25,nombretratamiento25,descripciontratamiento25,muy alto
26,nombretratamiento26,descripciontratamiento26,bajo
27,nombretratamiento27,descripciontratamiento27,nulo
28,nombretratamiento28,descripciontratamiento28,muy alto
29,nombretratamiento29,descripciontratamiento29,medio
30,nombretratamiento30,descripciontratamiento30,alto
31,nombretratamiento31,descripciontratamiento31,nulo
32,nombretratamiento32,descripciontratamiento32,bajo
33,nombretratamiento33,descripciontratamiento33,medio
34,nombretratamiento34,descripciontratamiento34,alto
35,nombretratamiento35,descripciontratamiento35,muy alto
36,nombretratamiento36,descripciontratamiento36,bajo
37,nombretratamiento37,descripciontratamiento37,nulo
38,nombretratamiento38,descripciontratamiento38,muy alto
39,nombretratamiento39,descripciontratamiento39,medio
40,nombretratamiento40,descripciontratamiento40,alto
41,nombretratamiento41,descripciontratamiento41,nulo
42,nombretratamiento42,descripciontratamiento42,bajo
43,nombretratamiento43,descripciontratamiento43,medio
44,nombretratamiento44,descripciontratamiento44,alto
45,nombretratamiento45,descripciontratamiento45,muy alto
46,nombretratamiento46,descripciontratamiento46,bajo
47,nombretratamiento47,descripciontratamiento47,nulo
48,nombretratamiento48,descripciontratamiento48,muy alto
49,nombretratamiento49,descripciontratamiento49,medio
50,nombretratamiento50,descripciontratamiento50,alto
51,nombretratamiento51,descripciontratamiento51,nulo
52,nombretratamiento52,descripciontratamiento52,bajo
53,nombretratamiento53,descripciontratamiento53,medio
54,nombretratamiento54,descripciontratamiento54,alto
55,nombretratamiento55,descripciontratamiento55,muy alto
56,nombretratamiento56,descripciontratamiento56,bajo
57,nombretratamiento57,descripciontratamiento57,nulo
58,nombretratamiento58,descripciontratamiento58,muy alto
59,nombretratamiento59,descripciontratamiento59,medio
60,nombretratamiento60,descripciontratamiento60,alto
61,nombretratamiento61,descripciontratamiento61,nulo
62,nombretratamiento62,descripciontratamiento62,bajo
63,nombretratamiento63,descripciontratamiento63,medio
64,nombretratamiento64,descripciontratamiento64,alto
65,nombretratamiento65,descripciontratamiento65,muy alto
66,nombretratamiento66,descripciontratamiento66,bajo
67,nombretratamiento67,descripciontratamiento67,nulo
68,nombretratamiento68,descripciontratamiento68,muy alto
69,nombretratamiento69,descripciontratamiento69,medio
70,nombretratamiento70,descripciontratamiento70,alto
71,nombretratamiento71,descripciontratamiento71,nulo
72,nombretratamiento72,descripciontratamiento72,bajo
73,nombretratamiento73,descripciontratamiento73,medio
74,nombretratamiento74,descripciontratamiento74,alto
75,nombretratamiento75,descripciontratamiento75,muy alto
76,nombretratamiento76,descripciontratamiento76,bajo
77,nombretratamiento77,descripciontratamiento77,nulo
78,nombretratamiento78,descripciontratamiento78,muy alto
79,nombretratamiento79,descripciontratamiento79,medio
80,nombretratamiento80,descripciontratamiento80,alto
81,nombretratamiento81,descripciontratamiento81,nulo
82,nombretratamiento82,descripciontratamiento82,bajo
83,nombretratamiento83,descripciontratamiento83,medio
84,nombretratamiento84,descripciontratamiento84,alto
85,nombretratamiento85,descripciontratamiento85,muy alto
86,nombretratamiento86,descripciontratamiento86,bajo
87,nombretratamiento87,descripciontratamiento87,nulo
88,nombretratamiento88,descripciontratamiento88,muy alto
89,nombretratamiento89,descripciontratamiento89,medio
90,nombretratamiento90,descripciontratamiento90,alto
91,nombretratamiento91,descripciontratamiento91,nulo
92,nombretratamiento92,descripciontratamiento92,bajo
93,nombretratamiento93,descripciontratamiento93,medio
94,nombretratamiento94,descripciontratamiento94,alto
95,nombretratamiento95,descripciontratamiento95,muy alto
96,nombretratamiento96,descripciontratamiento96,bajo
97,nombretratamiento97,descripciontratamiento97,nulo
98,nombretratamiento98,descripciontratamiento98,muy alto
99,nombretratamiento99,descripciontratamiento99,medio
