tratamiento(identificador,nombreTratamiento,descripcionTratamiento,nivelDeRiesgo).
tratamiento(1,nombretratamiento1,descripciontratamiento1,nulo).
tratamiento(2,nombretratamiento2,descripciontratamiento2,bajo).
tratamiento(3,nombretratamiento3,descripciontratamiento3,medio).
tratamiento(4,nombretratamiento4,descripciontratamiento4,alto).
tratamiento(5,nombretratamiento5,descripciontratamiento5,''muy alto'').
tratamiento(6,nombretratamiento6,descripciontratamiento6,bajo).
tratamiento(7,nombretratamiento7,descripciontratamiento7,nulo).
tratamiento(8,nombretratamiento8,descripciontratamiento8,''muy alto'').
tratamiento(9,nombretratamiento9,descripciontratamiento9,medio).
tratamiento(10,nombretratamiento10,descripciontratamiento10,alto).
tratamiento(11,nombretratamiento11,descripciontratamiento11,nulo).
tratamiento(12,nombretratamiento12,descripciontratamiento12,bajo).
tratamiento(13,nombretratamiento13,descripciontratamiento13,medio).
tratamiento(14,nombretratamiento14,descripciontratamiento14,alto).
tratamiento(15,nombretratamiento15,descripciontratamiento15,''muy alto'').
tratamiento(16,nombretratamiento16,descripciontratamiento16,bajo).
tratamiento(17,nombretratamiento17,descripciontratamiento17,nulo).
tratamiento(18,nombretratamiento18,descripciontratamiento18,''muy alto'').
tratamiento(19,nombretratamiento19,descripciontratamiento19,medio).
tratamiento(20,nombretratamiento20,descripciontratamiento20,alto).
tratamiento(21,nombretratamiento21,descripciontratamiento21,nulo).
tratamiento(22,nombretratamiento22,descripciontratamiento22,bajo).
tratamiento(23,nombretratamiento23,descripciontratamiento23,medio).
tratamiento(24,nombretratamiento24,descripciontratamiento24,alto).
tratamiento(25,nombretratamiento25,descripciontratamiento25,''muy alto'').
tratamiento(26,nombretratamiento26,descripciontratamiento26,bajo).
tratamiento(27,nombretratamiento27,descripciontratamiento27,nulo).
tratamiento(28,nombretratamiento28,descripciontratamiento28,''muy alto'').
tratamiento(29,nombretratamiento29,descripciontratamiento29,medio).
tratamiento(30,nombretratamiento30,descripciontratamiento30,alto).
tratamiento(31,nombretratamiento31,descripciontratamiento31,nulo).
tratamiento(32,nombretratamiento32,descripciontratamiento32,bajo).
tratamiento(33,nombretratamiento33,descripciontratamiento33,medio).
tratamiento(34,nombretratamiento34,descripciontratamiento34,alto).
tratamiento(35,nombretratamiento35,descripciontratamiento35,''muy alto'').
tratamiento(36,nombretratamiento36,descripciontratamiento36,bajo).
tratamiento(37,nombretratamiento37,descripciontratamiento37,nulo).
